"x","y","Mural cells","TMSB4X high cells","Fibroblast cells","Valve cells","Vascular endothelial cells","Cardiomyocytes","Epi-epithelial cells","Endocardial cells","Erythrocytes","Immature myocardial cells","Epi-mesenchymal cells","Macrophages"
16653,14320,0.0138156475422687,0.00703732348289818,0.06840625690792,0.0660363724796804,0.0662722438922705,0.0985269956326029,0.10048570910283,0.199161745326608,0.130813979725663,0.0966007143803569,0.0935609971951119,0.0592820143317896
12200,4685,0.0455148242310226,0.012170678457692,0.0261331170464519,0.00947199724301453,0.105048141365466,0.149350927021029,0.00994103654000492,0.403833565219038,0.0373550026669944,0.0788867132351917,0.0945292478583558,0.0277647491157389
9715,9512,0.0352356212217803,0.00271175308834822,0.0221077113845574,0.00726677838585076,0.0597681709566965,0.272729315178506,0.00960446065865064,0.362040642449431,0.0344642500211475,0.0649684559740355,0.0968925556152744,0.0322102850657221
10686,9751,0.0372328662908925,0.00601613083823984,0.0420461580718617,0.0163853908706676,0.105101751346968,0.119272312475638,0.078226722842527,0.300474520524665,0.0703431572607915,0.0873811862623581,0.0919738673754147,0.0455459358399753
14556,4921,0.0406272785861643,0.00824279840882459,0.0449894110140005,0.017038694606864,0.140452783089441,0.099739801811111,0.0175485519805291,0.336467649908731,0.0378136774785422,0.149899656522333,0.0837276743410993,0.0234520222523605
15670,7812,0.0578207435336243,0.00707113870889081,0.112725227627062,0.0201547160427891,0.0530116336472079,0.163990498210065,0.0212207180111932,0.376856342762499,0.0225672575577188,0.0890263948341086,0.049540656505389,0.026014672559452
8466,8309,0.0147336161051788,0.00448134155504093,0.02817178517892,0.0165100635997353,0.133674058207755,0.216600676153079,0.00595689150775875,0.273648882962592,0.0450392042645005,0.120426387315358,0.0670190721914175,0.0737380209586642
15543,13840,0.0220785681295821,0.0240338021702708,0.0380101948205392,0.0998871401398013,0.16400001903873,0.176973932226948,0.0140046294588357,0.0897673769860682,0.0960306858588765,0.12308973565511,0.0732255194998369,0.0788983960154017
11643,3722,0.00869580296993978,0.00318899326268706,0.024295223894021,0.00816834258761102,0.03690443923938,0.182292540848841,0.00834033879916809,0.495097481270074,0.0670005232971298,0.107624934706752,0.0310074434396902,0.0273839356847058
11923,5168,0.0508329181581017,0.0115990400040787,0.0391089665664014,0.00409332299661425,0.0764038542143451,0.130314504204515,0.00843662612442001,0.359321935854836,0.0565215945318319,0.0981734953588459,0.141738965934405,0.0234547760516053
18314,13352,0.0124021495666919,0.00377865584370357,0.127927616320323,0.0557078931568215,0.0286690670202232,0.123437535136349,0.375590401956496,0.0499726851747088,0.0335186154712846,0.101710560414252,0.0579934527406381,0.0292913671985092
16363,8052,0.0359103999925016,0.00731481844922026,0.0444747925963969,0.0131546776398048,0.0968174485665829,0.253911789895965,0.0151601983203518,0.3050082803718,0.0116544212521144,0.13528233396204,0.0551065999932717,0.0262042389599509
9869,16985,0.0143038385966034,0.00344643872664399,0.00884747281486182,0.00205756014536207,0.0689814076699455,0.36475149999906,0.00291261221843349,0.401525253782604,0.0467513319482272,0.0654336645189739,0.0142982423085203,0.00669067727076488
