"x","y","Immature myocardial cells","Cardiomyocytes","Fibroblast cells","TMSB4X high cells","Endocardial cells","Valve cells","Mural cells","Erythrocytes","Epi-mesenchymal cells","Vascular endothelial cells","Epi-epithelial cells","Macrophages"
14556,4921,0.110219265772764,0.211424787363351,0.0455284369865281,0.00572054391844194,0.145591539059099,0.0847893991137295,0.0543046930838712,0.0569886544064657,0.022597316537391,0.0455249246074769,0.0906677885393379,0.126642650611543
15670,7812,0.130486937322411,0.126916840102453,0.0520113529055902,0.00367820074407695,0.163695786328987,0.101774768126182,0.0531165869031857,0.081057970716781,0.0552636151116852,0.0406000042105852,0.0988668575859335,0.09253107994213
8466,8309,0.11237731195642,0.219666421779762,0.0222344603512318,0.00941131294426314,0.168461071658554,0.0599354590894885,0.043472754189329,0.0764937807581696,0.0253138234030057,0.0675961276262555,0.0804473873320965,0.114590088911424
15543,13840,0.0840214514386305,0.0929937135890011,0.0505921899178034,0.0208474940635086,0.182428347586893,0.16157607481116,0.0256068428585807,0.15372217797158,0.0255967538606073,0.0408070462298486,0.0832279387895503,0.0785799688828369
11643,3722,0.146045630574925,0.205632952910233,0.0461368956068796,0.00623796376742593,0.138092714263729,0.0539802156535846,0.0560286681841813,0.0890238468241864,0.0137684917731486,0.024954717788968,0.0987101992675871,0.121387703385151
11923,5168,0.128053744778196,0.168771811948134,0.0622605588937839,0.00322915743109042,0.0973831583001842,0.0618553016863002,0.0693413225548003,0.104235890111447,0.0351024685441542,0.0624800916991602,0.101354883184259,0.10593161086849
18314,13352,0.0779435718905241,0.145702503559274,0.038920851876343,0.00556679407332728,0.0769148455605288,0.0607758042997991,0.0268155611407136,0.0909185501486816,0.022787861208392,0.0149458798730526,0.403070174937441,0.0356376014319238
16363,8052,0.139546105828988,0.167875928816882,0.0315115560306847,0.00284948010749594,0.130776615681636,0.101332211079384,0.0460761569175197,0.0672889181805544,0.0265623165061426,0.0552244404579352,0.0815084007780455,0.149447869614733
9869,16985,0.13513261869598,0.107798945275903,0.0600391393938591,0.0115020007344166,0.224977146831036,0.0798653110415249,0.0374400802685381,0.114909634462719,0.0278825881165255,0.0353672813139888,0.078687594699876,0.0863976591656331
15954,11187,0.0606743481495067,0.0708085138586317,0.0660196482463839,0.00956286946262499,0.27278483091397,0.0866990157928549,0.0182513975543441,0.127776903425007,0.0213280971849488,0.0389564840610648,0.111410572311212,0.115727319039451
12336,3479,0.104196404633026,0.195180196566807,0.0502449088973004,0.00986168544357998,0.118329023621239,0.0774303540774726,0.0529364674859223,0.0462049639814282,0.0491019940521252,0.0684330617547519,0.116440453714767,0.11164048577158
12343,7337,0.169510019672704,0.0804462395921592,0.0268523891556713,0.00626460603635251,0.175499202577444,0.081991851953472,0.0736840430128655,0.118073644095585,0.0203060311184888,0.0246054908112986,0.133637550418227,0.0891289315557316
15402,12635,0.0751328618551942,0.14282094776509,0.0532504009268316,0.00985169737293314,0.20238362733183,0.0870186527059795,0.0229935327826978,0.102067131986523,0.0322796109848129,0.0668949846283833,0.119463900661706,0.0858426509980188
11506,4445,0.163459529344391,0.166450400391809,0.05423442089156,0.0123710772026936,0.100322770713507,0.14255248103769,0.0695474102363198,0.0595198373857521,0.0201958121345393,0.0505895946183741,0.086082733317623,0.0746739327257408
14025,16495,0.0893288331929463,0.108875462200289,0.0750230882838804,0.0150053347856977,0.151276261368755,0.0528028823822437,0.0302912058360673,0.127146383064046,0.0221932058836164,0.0505680778109329,0.201096067271928,0.0763931979195975
12081,14570,0.00528796245163287,0.0343989453191038,0.0277326702987456,0.0025743307616265,0.0411310411657485,0.406078093367214,0.00204771605573523,0.089109775952415,0.00797356250697337,0.000422630417429536,0.311254195668158,0.0719890760352178
15388,5402,0.153781262089468,0.201194120715073,0.0307408526662033,0.00467310361144985,0.204320521288156,0.0524248704678864,0.0247605910765475,0.0536702325290481,0.0406564993006778,0.0193850338916853,0.0952834794710019,0.119109432892803
