"x","y","Cardiomyocytes","Fibroblast cells","TMSB4X high cells","Valve cells","Erythrocytes","Endocardial cells","Epi-epithelial cells","Epi-mesenchymal cells","Immature myocardial cells","Macrophages","Vascular endothelial cells","Mural cells"
16516,15043,0.967010010459037,5.09832837443885e-19,6.532672640528e-14,4.30565615298593e-20,2.2753501165756e-25,0.0018550874096812,2.36445325740218e-21,3.1195087999427e-25,0.00322898159889096,0.0274942232205337,0.000411697311792234,1.02250566555568e-24
10141,14574,0.742172135792122,9.07137614362313e-05,1.76673696260862e-09,0.15208795830007,5.66304660192689e-07,0.0217908861822373,0.0301873791377854,0.00215195980587933,0.0343292206503531,0.0127871748066319,5.62965915530216e-13,0.00440200349152502
7639,10722,0.904934478002331,6.84660821678229e-05,6.70783760587056e-19,0.0194272532750736,5.93702069185277e-37,0.00244065840802894,0.00409999968316863,1.21050757960399e-09,6.05920270980158e-05,0.0564452845107713,0.0125213654689464,1.90133190628553e-06
9729,16262,0.952150174181253,1.3486560329777e-18,1.06078693869474e-13,4.79460441347999e-21,4.56684166838163e-28,0.00517783249336683,3.73712717235576e-06,1.87987650593407e-30,0.022653261213148,0.0197744654352391,0.000240529549714316,3.57966536876061e-30
16503,8775,0.945184753554587,6.82132880604459e-38,4.8817232885168e-28,2.47086513675828e-37,3.15702178816322e-86,8.01617597387221e-17,1.3511072910393e-58,1.53279026144075e-49,0.0106362528650903,0.044178993580323,1.28895074225073e-34,3.04614583652062e-37
9988,7100,0.920021311717852,3.59790037107762e-06,2.26305950407306e-11,0.01320127886481,1.15050570854674e-31,6.41731446877762e-06,1.4916853288619e-06,9.71968219516982e-12,0.00311186982465482,0.0567676627393177,0.00688556180079051,8.0812005633882e-07
8604,8068,0.934421163957903,2.67963206898777e-24,8.63201863703124e-33,1.88226072271749e-17,1.7497092076497e-49,5.99057589056112e-22,3.73712015241642e-38,1.86390124636996e-37,0.0100542826433847,0.0555245533987124,7.71699319630539e-50,9.57963411819853e-24
13472,17460,0.777693882029816,0.000113070427587559,5.87655868135331e-15,0.0684213640995826,1.08116271163962e-13,0.0495006674306056,0.01744691848733,1.05809555886025e-13,4.61355150153876e-06,0.0399208614566386,0.0468984904957316,1.32020986504966e-07
17338,10702,0.952803938696814,4.92381892994629e-08,5.56824888411863e-16,0.00309935332968453,5.29964244981681e-41,1.06175842944091e-08,3.511194316225e-16,1.64786802006359e-18,0.00034677830327107,0.0437498244249431,3.55268948229423e-17,4.53895126924827e-08
15948,8294,0.951495963010598,4.44491169435897e-16,5.94914232598585e-25,7.62960716637443e-07,7.63987564551632e-57,5.56776859429079e-07,1.03200548984874e-26,1.36823106944239e-25,0.00208771085040199,0.0443596614446972,0.00205534474625678,2.10469468052231e-10
13053,15774,0.901930544041215,1.89737957589287e-07,9.61171469794779e-24,0.00548238923992065,3.04750007204896e-63,0.0237499304795618,7.24347901763209e-05,5.28505975940068e-15,0.00276427020151282,0.0361548300288531,0.0298454088957448,2.58505271759913e-09
13740,12638,0.938759887981865,1.32188181435889e-06,1.74963422218905e-16,0.00119586377632785,1.12075607750482e-09,1.1856540005131e-05,2.63425930424791e-20,3.43885262306167e-15,0.00543738632683608,0.0484115465968033,0.00618181025247647,3.25523111896788e-07
10406,8305,0.848147287651805,0.00119824620249017,1.06219183300875e-12,0.0762645769624919,1.4032581749708e-25,0.0319378206778973,0.00978660746927259,3.83846313310891e-05,0.000484543101449065,0.0314180679859344,0.000671578735423802,5.28865808428798e-05
10556,14332,0.0183402412452695,1.74559957088147e-06,1.48443499117088e-23,0.669649626689466,2.91715880413915e-62,0.0224205785717411,0.104413010281441,0.00666871331404413,0.0693283004994694,0.0366043736993448,6.34817762277847e-30,0.0725734100996526
8194,10720,0.942962601778587,1.41836797388139e-26,7.97292024390914e-33,1.41045766374982e-18,3.51243843399137e-83,6.14804532661712e-19,1.77170086669935e-39,2.83979632255395e-31,0.0114989493696527,0.0455384488517597,3.91077923557036e-46,4.05332581215803e-27
8746,9755,0.936142464722411,2.58944362316077e-12,8.58356528512406e-14,3.20329499371973e-17,0.000457145880859527,2.61163624683445e-09,1.86093671898663e-33,7.15741345097752e-26,0.0020858334091171,0.0613145400463932,1.33269030066089e-08,4.33448691261715e-15
12901,8782,0.937860820110831,1.08099755626979e-05,1.55490389764924e-13,1.45035528603558e-09,7.26487284923051e-19,3.04555747808592e-06,2.36303321245353e-19,5.95831842586064e-14,0.0058691778252684,0.0562561448314322,2.48811298757425e-10,4.62660536238284e-14
13324,12398,0.918244220354983,0.00573996743757796,1.76504674297995e-11,0.00268795768848216,1.13082187718327e-08,0.000691938692177702,2.18566855398645e-14,6.87908074092609e-17,0.0194991035013535,0.0531336938694213,2.51069141423379e-14,3.10713008861355e-06
12634,14087,0.923631621898709,3.90469756711061e-09,5.07402818993066e-28,0.0172422386521462,2.76377465470836e-66,1.3167643474892e-05,4.37253195662611e-05,3.08296876815614e-13,0.0226716931853345,0.0363975480223802,1.28947553038569e-15,1.37338218802555e-09
13746,15531,0.936666395647359,4.42904144058938e-08,9.83720432169314e-22,0.0332967039735609,7.53254948652205e-34,1.1340728338085e-05,1.40448745808672e-06,3.51583506694971e-08,0.00301498504365828,0.0270090886212233,5.10642939984642e-16,2.0496364534851e-09
14990,14323,0.973920178501162,1.49494881136991e-09,1.67317617600904e-14,0.00682852918212897,6.11780931125408e-19,0.00120705264582384,1.08271331890026e-17,4.7369691254493e-17,0.00185412935179723,0.00779300774938368,0.00839701241096788,8.86637712907314e-08
10676,4929,0.933752795291105,4.71011266506574e-29,1.23799040576178e-22,1.25655491885792e-28,8.7028396064101e-45,2.29817092014068e-18,6.85181634530694e-50,6.82893320052915e-40,0.00579421112588045,0.060452993583015,5.7964018351443e-42,2.14552237240898e-32
17483,13836,0.975689527580708,1.93632302181987e-14,1.09722577519616e-11,3.613244163317e-14,0.00261494323035813,0.00620788471668296,1.95008894184698e-30,8.17290623992935e-34,0.00323332469895755,0.0122540411647973,2.78597468131853e-07,2.43004370510381e-22
15542,13358,0.9791482126281,3.08738620990475e-17,2.51286061494534e-23,1.46195066701073e-10,4.46692829535108e-42,2.19885202298007e-06,2.280335465611e-28,7.61647766677423e-21,0.000943586772879982,0.01990600128955,3.1125184077355e-10,2.61762739448253e-23
14147,8539,0.966398004338441,1.68699667603959e-26,6.2383922123785e-24,5.47244350356435e-23,4.58115249113655e-31,4.81886764539192e-16,6.60296435468269e-31,2.90521287451479e-32,0.000650955779332992,0.0329510398822251,7.47442760379034e-29,5.10660340373656e-31
18448,11182,0.730073526454227,3.13056556816003e-07,2.57908870757937e-33,0.117560165825087,1.49815275402941e-63,1.31085194239725e-14,0.0925300807961926,1.24076284270636e-07,0.000638696229672393,0.0591823060081281,3.84841333920069e-31,1.47875538382372e-05
14978,8055,0.95216813201563,5.64292609154732e-20,5.16107855074502e-14,2.57029106982151e-17,1.67386564214516e-39,3.33477085845956e-10,1.20886455214154e-35,4.41393039013241e-30,0.00932645751068547,0.0385054101401561,6.00194743899901e-18,1.47744295222202e-23
12061,4444,0.952426883758651,3.03006002707979e-13,1.28638144395583e-14,2.01937535003553e-14,1.3694553209237e-30,1.46707409780777e-07,1.11881134536609e-28,2.78787476285032e-26,0.000713255178567669,0.0468597143549529,8.22036670000614e-14,3.08765909816531e-20
11949,17705,0.911450295357264,6.97476619058483e-08,1.29843374131751e-12,0.00749263855143247,3.79357007970858e-42,0.0237024506049537,0.00739004088191056,1.17688424498678e-16,0.00684965426352129,0.0431148505919547,2.41402444622393e-15,4.04242637114298e-16
11531,16500,0.895560287909486,0.0285867845058317,3.30261250811553e-07,0.00176577518613625,0.00451555655254433,0.0361806118322768,0.00389726482370181,6.82952325100357e-13,0.00102311723895198,0.0206487800219422,0.00756185405043949,0.000259637616755915
