"x","y","Proliferation","Macrophages/Microglia cells","OPCs","Neurons","Endothelial cells","Astrocytes","Oligodendrocytes"
8079,9475,0.0024131338850084,0.378165521451444,0.0033647184433679,0.120220785644737,0.0636041040924145,0.277450109178091,0.154781627304938
9942,4561,0.000984243002421534,0.381170838520895,0.000591628530656795,0.00439034186311018,0.405334272385743,0.0865615329537302,0.120967142743444
8702,5280,0.000215780757955622,0.44074646638014,0.000281704762298049,0.000922498997622792,0.304809241595825,0.102210364175395,0.150813943330763
8841,1923,0.000465570613190936,0.457316522119525,0.000706863807271158,0.00107331324490133,0.0644758880191243,0.275256089376751,0.200705752819237
4429,7196,0.00531436759673101,0.448453259636346,0.00168176842888422,0.00792715149632671,0.134586564187693,0.295438549785686,0.106598338868333
7736,6718,0.000252473935021995,0.214090131927363,0.000295300740757152,0.000563942885505177,0.116727154581448,0.532870079412002,0.135200916517903
5602,4199,1.00960407518115e-05,0.494038108645242,0.00320142592375103,9.22035830091251e-05,0.0108251339507089,0.23394379316767,0.257889238688868
3811,3239,0.00533967292452862,0.593563948246747,0.000382592053543229,0.000676973379651273,0.220494171752272,0.101882122806997,0.07766051883626
6428,4439,9.84725042920892e-05,0.473482622506942,0.000673831206651039,0.00120574098815747,0.0393863285961531,0.283875982160696,0.201277022037108
9047,3721,0.00397323869934453,0.423421949080042,0.000267666307232279,0.00363555473428567,0.198106104654521,0.229290142446876,0.141305344077698
3465,5037,5.71444598189483e-05,0.609069818836725,0.000289384523784366,0.000263914924716697,0.0230734262313741,0.217745336581194,0.149500974442387
4775,3719,0.00161967648514423,0.451702839910434,0.00285804895316008,0.00346898895268222,0.0905580670221912,0.241404917727429,0.208387460948959
4222,8035,0.00727286909385974,0.366170066095935,0.00281066402521192,0.0215511267959774,0.100085091636179,0.385257961960762,0.116852220392074
4566,9354,0.00047526684798328,0.264879666342695,7.76775547566074e-05,0.000761072530816449,0.0481994915785671,0.67495971802835,0.0106471071168313
9802,9596,0.000190921304925253,0.361905205520403,0.000448347244420675,0.00582410784674147,0.199595454684447,0.251966966601264,0.180068996797799
5807,6237,0.000104445555053125,0.705274066846858,0.00010105535067595,0.00123492580442423,0.00755755920885982,0.244484864058892,0.0412430831752364
6909,8396,0.000608317514668946,0.330873544883415,0.000752103611663466,0.00125844124527924,0.154337953367635,0.341598180555061,0.170571458822277
6702,7556,1.22017133064757e-05,0.562326072527099,0.000296453233366368,0.00153934961493706,0.0641927015008751,0.197782096274135,0.173851125136281
8633,4201,0.00186214836650757,0.298320349368221,0.000574484217002044,0.000308345179795627,0.329831954656191,0.208018576023483,0.1610841421888
6357,9355,0.001917729179822,0.208003550417336,0.000760807741180338,0.00343062759490118,0.296766333371318,0.381019226336725,0.108101725358717
7597,9355,0.000541097874239237,0.636900046609435,0.0031700424855228,0.00541928612140762,0.0258470459076193,0.225005195364139,0.103117285637638
6703,7317,0.000757049538077172,0.392982766608424,0.0019883195636289,0.0128166219043195,0.179952946145309,0.28122875108977,0.130273545150472
8081,6838,0.00244664549510986,0.241054632098112,0.00161633461529225,0.0017542833655646,0.186001504993175,0.443087182945276,0.12403941648747
9389,9116,5.38012432748408e-05,0.287132833223106,8.99652349690361e-05,0.0014220338078103,0.0189321589462641,0.539600822177117,0.152768385367458
8634,3002,0.00283763619935437,0.391264998117713,0.00118097309516156,0.00686667964605958,0.0757675426461286,0.322361577446724,0.199720592848859
6980,2761,1.33216394513236e-05,0.596267944886195,3.18273591144984e-05,0.000253463478385885,0.021858556656663,0.337057846166922,0.0445170398132681
9044,8996,0.000195185490213137,0.422889707222219,0.000396395649730294,0.00322280228925946,0.0313523529055481,0.348076607745593,0.193866948697437
8012,7437,0.000123180185804575,0.227551935504246,0.000153154224403274,0.00156793044667758,0.0372728549555724,0.586929775229764,0.146401169453532
8150,6718,0.000264865937493255,0.245974038440745,0.000414957283034446,0.0012958433924706,0.127226709952454,0.450743360022716,0.174080224971086
9461,2283,0.00122497173536064,0.286814017678486,0.0014890701571464,0.00463355722188645,0.0671303253349118,0.449777800766726,0.188930257105483
