"x","y","Astrocytes","OPCs","Proliferation","Macrophages/Microglia cells","Endothelial cells","Mesenchymal cells","Epithelial cells","Neutrophils"
8977,6239,0.000781348356451124,8.5335929681181e-06,3.85592294368527e-08,0.00400998494816667,0.958389533763249,1.90776181865594e-05,1.99649871255285e-05,0.0367715181746237
7187,2402,0.00689108386953563,0.00920259113474386,0.00023650515254205,0.197303398298939,0.134892690561227,0.0106695601922863,0.0168121179189861,0.623992052871741
7186,4320,0.00440636091392567,0.00190344716746579,0.000130211318988771,0.0974368944606832,0.49984627764595,0.00690798351226353,0.00671919764155533,0.382649627339167
8701,6958,0.00612078834647902,0.00179630762225624,2.59575911950824e-06,0.146550633898147,0.443356878222879,0.00190939332421803,0.00265089612248045,0.397612506704421
6774,2881,0.00303042911567307,0.0044136003133402,0.00141764709217206,0.259104042977035,0.279889864597261,0.00874025453594884,0.0237692864495858,0.419634874918985
8011,8876,0.0143472809357623,0.0178600642190194,0.000176316493966471,0.144351585568519,0.163850053437482,0.0702428085300722,0.041306575594642,0.547865315220537
7047,7916,0.0038499101291527,8.18001778072886e-05,2.76902665177815e-06,0.0236835817542108,0.778654804968357,0.000344896622995005,0.000200079069732338,0.193182158251093
8702,3362,0.00120604240711384,0.000291324228998018,1.66853650573672e-05,0.0262061840915824,0.69639544420831,0.0023211485112288,0.00137495491507315,0.272188216272636
7391,7797,0.00383186582122639,0.000105357241894813,2.77461637050784e-06,0.010140317743205,0.756212643768361,0.000358569374872622,0.000223136320610252,0.229125335113459
6016,3240,0.00210259649379668,0.00457634491185342,1.3533358768172e-07,0.235430167975037,0.0986510257600806,0.00275005208420821,0.00237518013967992,0.654114497301757
7600,4320,0.00534966887673236,0.00130632426895506,0.000112328918115282,0.0355576383561524,0.71802753245853,0.00150668959252699,0.00186271227941037,0.236277105249578
9529,3842,0.00324732492342711,0.000761004495178412,3.60630147457985e-05,0.0234377688944173,0.64778317367659,0.00641491242452889,0.00298995806148717,0.315329794509625
3880,2400,0.0016487422733141,5.68732615013285e-05,9.49131045440784e-08,0.00679862037598153,0.864992208776872,5.15194160546656e-05,5.53541351436155e-05,0.126396586848028
6012,9474,0.0206403529362594,0.00117289400034738,3.34584697303495e-05,0.0800555628360805,0.73385308012329,0.00193201997215883,0.00458325616689701,0.157729375495237
6842,4200,0.00281248889809084,0.00357503732877247,0.000584459907946362,0.248388415222229,0.317584216281034,0.0167405442312216,0.0144719638429683,0.395842874287738
8838,7917,0.0539835526402984,0.0169677995758005,0.000214917970798892,0.281479413913542,0.198006185489003,0.00580162035012231,0.0272374669979376,0.416309043062498
8700,7438,0.0159162664325057,0.0113102855260336,0.000147531950820323,0.313313377650052,0.0934903295800671,0.00856452536660825,0.0220766521090951,0.535181031384818
5049,7076,0.00415011723259662,0.00912843715215291,0.00643051602554476,0.11837695472598,0.355870574196212,0.025713564340951,0.0377368663631526,0.442592969963411
5256,7196,0.0036740491861441,0.00561577778303174,0.000170717762314793,0.0582858570889142,0.548864170895755,0.010728183445222,0.0131330729328612,0.359528170905757
5119,4319,0.0716168768481371,0.0556973081394809,0.0220619046811586,0.217100654078201,0.0510188392557626,0.269209014369846,0.182983585986862,0.130311816640552
9870,10195,0.0199705076747592,0.000783863578388482,1.87290874301924e-05,0.0653355010295968,0.506709303811541,0.00321703590346459,0.00254867307128279,0.401416385843537
