"x","y","Endothelial cells","Mural cells","Cytokines","Neurons","Epithelial cells","Proliferation","OPCs"
9664,9356,0.212571692584781,0.00214415568018784,0.109898903383234,0.00350560533632885,0.0222461897851618,1.01610025036259e-05,0.649623292227803
6567,2042,0.0780482781761187,0.00489413432514238,0.135822622547049,0.0197669878035501,0.102302949255495,0.000131561929372476,0.659033465963272
7184,9595,0.000599224234533558,3.12400126124871e-05,0.0678699900219119,8.08762445626842e-06,0.0444976335851999,5.05295130287983e-07,0.886993319226156
4430,5757,0.0293147407815812,0.000662091486043734,0.0872154422244948,0.000979799612188685,0.0689487467745735,1.85713005076249e-05,0.812860607820611
4980,7676,0.0275526352610548,0.00194701782107772,0.133867503178848,0.00177724514604119,0.085893683548795,0.00075462371207496,0.748207291332108
7256,2042,0.00823012072234319,0.000593768937303299,0.0684516411467,0.000421067477360389,0.0640923667832816,2.24293009908837e-05,0.85818860563202
3673,4198,0.000633956615653922,9.68103263515482e-06,0.0321140735193525,7.1345601049026e-06,0.0252899599422889,9.96345487488747e-08,0.941945094695416
4910,9474,0.0160488221018794,0.00117121512825112,0.124796991652542,0.00124198061118096,0.0858575740169989,0.0020511464372367,0.768832270051911
5531,7676,0.0458041259272477,0.0040184236439935,0.152979280270615,0.0103143933929533,0.10454753385193,0.000465600888239026,0.681870642025021
8287,7198,0.0231643743234925,0.00117615563025919,0.076478660301423,0.00182098687505255,0.0344414663809354,1.52467007575189e-06,0.862916831818762
10012,2283,0.00874447288945561,0.000867463777200445,0.148786395232244,0.000504248414802707,0.0532499230248576,0.000103381794736721,0.787744114866703
10011,3722,0.186880180143787,0.00401915007903739,0.158754561218533,0.00590111902015487,0.0528447816424611,0.000156398356249271,0.591443809539777
6289,8276,0.00862307494841781,0.000186548460802701,0.075730125544969,0.000236294911045938,0.0589176707700577,7.27181916415408e-06,0.856299013545543
5258,2401,0.0253209547749305,0.00201516545521563,0.0496059002486997,0.00788224901500134,0.0281913818845242,1.08274822116168e-05,0.886973521139417
9872,7318,0.0160530531104965,0.00086096002118038,0.0959406012467763,0.000897907676802766,0.0341996471253414,3.44303962296399e-06,0.85204438777978
3878,5757,0.0255859078090469,0.00144973335358641,0.104150822051914,0.00272232330919351,0.0732355437501745,1.70738329389202e-05,0.792838595893146
