"x","y","Neurons","Cytokines","Endothelial cells","Proliferation","Macrophages/Microglia cells","OPCs","Epithelial cells","Mural cells"
4223,4678,0.0619314117224607,0.207063583181469,0.018649746877121,0.00113708079493865,0.139979816841992,0.308925985473654,0.191320338144955,0.0709920369634093
7668,5639,0.101221286869481,0.123927685961735,0.566692979610887,0.00176955429509955,0.0581323637479708,0.119307622971714,0.00942377852469906,0.019524728018413
4361,6117,0.0058524387248399,0.10128908397489,0.0403066279513147,6.23277032885037e-05,0.43080583478524,0.0280773980243816,0.0338137476876911,0.359792541148354
7875,5759,0.0850312232173878,0.251859170523243,0.307576980613376,0.00025577969871534,0.10589740639308,0.192425143876017,0.0145252232060763,0.0424290724721049
9871,8517,0.0447281141082641,0.020415702683541,0.0227207935054243,0.000614418874910152,0.204894366854269,0.0667387313527262,0.0814332158004735,0.558454656820392
5048,8515,0.0928224427990882,0.185499609200916,0.0655058023539603,0.00226470806214376,0.167633001488099,0.177880418553603,0.163941655479144,0.144452362063046
8564,4560,0.0642257738120362,0.182954408638465,0.373727203242376,0.0203097284355643,0.0719423093192029,0.0125897871094479,0.0326459269486866,0.241604862494221
7391,8516,0.0705637278326772,0.0718274638883659,0.283406472635716,0.000591075949506521,0.161113740289841,0.324059201277978,0.00762017621418018,0.0808181419117353
7116,7796,0.0730040926707128,0.152218108232781,0.130614059557242,0.000668249267500137,0.0978569069966894,0.344486628540715,0.0539178549402697,0.14723409979409
4427,10313,0.130332634904009,0.276726879604016,0.0905902928806082,0.0027007544665176,0.128466995984858,0.22523383481384,0.0802379500378712,0.0657106573082811
9734,7318,0.0621300674793503,0.0263235460745096,0.0874582614784273,0.00116065569466834,0.237828799795034,0.446498891645353,0.0927412667395084,0.0458585110931491
7390,9475,0.0893459619870791,0.198497598293613,0.0487518926506021,0.000831273376817238,0.215134155785639,0.101828455605777,0.164085791638318,0.181524870662155
9047,2523,0.0490964607171527,0.286901335020043,0.0706088242990068,0.000293773135796647,0.10895085911585,0.050640248108682,0.154800988723256,0.278707510880213
4773,8275,0.13577888988465,0.262677922941424,0.0859250346212066,0.00304757677578163,0.10861123440068,0.169256046775155,0.159721256940342,0.0749820376607594
7392,5639,0.171522817678408,0.0607387956667763,0.435770903484327,0.00176521764168404,0.0766547585520088,0.172483400739134,0.0407580891443859,0.0403060170932755
7942,8276,0.0913967851011389,0.0687926605872385,0.165587348473511,0.00208112986211722,0.0775591976003666,0.514317797629146,0.0226828298159309,0.0575822509305509
5670,4799,0.0679257494758855,0.0783187561525521,0.0715946379155855,0.000140334865779626,0.213904270103759,0.105962105673057,0.163021845229808,0.299132300583573
9872,6119,0.0595361102138919,0.0910747547849163,0.567213423534284,0.000237274556567065,0.201784565717626,0.00847102333166687,0.00102767484601254,0.0706551730150352
8357,4680,0.0280175770543135,0.277595567834522,0.463792301882933,0.000693566973767423,0.0723038031710288,0.0140286694683442,0.0082639870659453,0.135304526549145
4982,4319,0.0518577386127628,0.190026022157926,0.0321210767356912,0.000350644226593452,0.219148918628815,0.296458540768868,0.08784669537031,0.122190363499034
5532,5038,0.0733820786486307,0.0546628575638834,0.0467616745635623,0.000768519408581469,0.297781281563321,0.266470171064782,0.161695377897824,0.0984780392894153
3808,8994,0.0950225033516066,0.13213175411859,0.0572915134688981,0.00430503631161782,0.137666991918013,0.385566865561207,0.121553094522018,0.0664622407480488
8702,4560,0.119789122443953,0.208331057420032,0.256047766277126,0.0143818281250174,0.0712629773670957,0.103092291408661,0.0437955446204252,0.18329941233769
4153,8634,0.116649096492942,0.0959548936055638,0.0923143715268155,0.00374170763704808,0.0604069471978506,0.569347478519616,0.0363219094346875,0.0252635955854769
7944,4440,0.0348700652293047,0.279880178872246,0.400067400704544,0.000642899557748811,0.098520674663742,0.0149707637113467,0.0334093461521088,0.137638671108959
8701,6718,0.0848525640001601,0.079433644411588,0.102306570642104,0.00196098170048699,0.121251575646789,0.420976312560592,0.151508673613188,0.0377096774250915
5602,3720,0.1438728621685,0.051385979471433,0.175969987739238,0.000836425309395393,0.27607168425996,0.00905077106440978,0.144071976475959,0.198740313511105
4499,5398,0.119187399586776,0.132957274805188,0.064127659088796,0.000972210180794491,0.271386561239716,0.0326444348446245,0.161934149763852,0.216790310490252
9321,6838,0.0976674704619293,0.0570337569872491,0.0555451884857899,0.0010197804473229,0.158817874853926,0.406206510803454,0.133098078854916,0.0906113391054127
4085,6356,0.0903497284077148,0.120817533483058,0.060357058992779,0.00147920889388918,0.310016594394442,0.107468615591963,0.0829383457272094,0.226572914508944
5668,8875,0.120571390980914,0.199956928738011,0.0703614763032324,0.00221121139526026,0.177233159393028,0.168628047049658,0.136335949338825,0.124701836801071
