"x","y","Neurons","OPCs","Endothelial cells","Astrocytes","Macrophages/Microglia cells","Proliferation","Oligodendrocytes"
7184,9355,0.000261467580912035,0.00185728274452722,0.0822326796200793,0.297246703282985,0.266444296178458,0.00190572042016382,0.350051850172875
3671,6836,0.000831484180391328,0.00456050121476828,0.0922688788900904,0.433388841958565,0.280554275780494,0.00270362379551996,0.185692394180171
2499,9113,0.00121164578139866,0.00234355070087052,0.0539134896228779,0.51196445402418,0.18937790546337,0.00314219070565078,0.238046763701652
9595,9956,0.00603436979101224,0.0101938499273977,0.433383299325901,0.135326233974293,0.255571191483371,0.00447045427075866,0.155020601227266
3397,4917,0.00016975250720355,0.000658078579149688,0.030755747397026,0.223061186932835,0.480964883857556,0.00116303376674227,0.263227316959487
6082,8875,0.000812859533127116,0.00936839485678635,0.378679929183487,0.279245161718493,0.0526762280571047,0.00149674273047783,0.277720683920525
6151,8036,0.000880804818973919,0.00446038863442641,0.182117381164519,0.440600619222112,0.178869619228852,0.00353970557921332,0.189531481351903
6635,4320,0.000642088486038426,0.00252736233977979,0.0718166073384078,0.283641616057329,0.545731271652421,0.00155576447471296,0.0940852896513113
4155,4318,0.000662139010176598,0.00123472756419813,0.299966616273588,0.273829535961804,0.145551162435816,0.0054688879969789,0.273286930757438
9667,2643,0.000886105759645316,0.00881171991434687,0.143671571396136,0.416104403117038,0.215531512091366,0.000645827592554429,0.214348860128913
4222,7555,0.00119851895030979,0.00765873725078287,0.153206105181859,0.348399233012596,0.19891135207334,0.0107713368868324,0.27985471664428
5947,2641,0.000597476399805504,0.00592356305865297,0.0900498343066036,0.224295128920918,0.425537861013142,0.00087881719008194,0.252717319110796
3396,5877,0.000188858108415277,0.000727608440090371,0.0722143666145954,0.336224308972074,0.461887745025013,0.000484531172209544,0.128272581667602
8839,6718,0.000897330790343533,0.0239243683332615,0.155054319284543,0.497425089212951,0.0653988756671294,0.00125668123675644,0.256043335475014
8977,6479,0.0026764736252949,0.00579779609936504,0.454978734724047,0.276658464226431,0.169255264494293,0.00394340363760553,0.0866898631929635
8427,3122,0.00276872909345005,0.00942438487011889,0.193395958907276,0.371219903198705,0.257891067708214,0.00317261948387959,0.162127336738357
10286,5161,0.000108717241968825,0.000696946620462192,0.619428906774347,0.10880320867546,0.25497065249238,0.000161488912453995,0.0158300792829275
7116,7077,0.00137628328164202,0.00300050255470179,0.229846361692139,0.336474035152213,0.263347415826489,0.000888067505391002,0.165067333987424
9666,5760,0.000385891920761467,0.0026409554905865,0.450925437067242,0.218934996630456,0.259480471143956,0.00115522404583045,0.0664770237011678
7805,7797,0.00128449487180597,0.0161602598055939,0.0998178504433702,0.487913922791581,0.113331882397067,0.00193225888000415,0.279559330810578
8355,9236,0.219751596356707,0.0336818488785275,0.11632406699169,0.279095680722436,0.135308477965576,0.0176450000759616,0.198193329009102
9320,7798,0.00740311075463301,0.0201830969261122,0.157944752080413,0.446074893939391,0.0905089695749755,0.00206896872455007,0.275816207999925
10011,3962,0.00109881665397738,0.00900359896521905,0.55953479261415,0.151785979015753,0.229765995644277,0.0036000989974646,0.0452107181091594
4017,3359,1.954241269847e-05,0.00441596311733764,0.105000877855907,0.336495104298721,0.191710537312525,0.000311306370367497,0.362046668632443
7118,3001,0.00287423995691683,0.00915718072176542,0.101253441574867,0.387358438372017,0.32365441708364,0.00344459664202884,0.172257685648765
5877,5398,0.000430888289209013,0.0104750542918856,0.0888468485174088,0.415247206376146,0.160838889961068,0.000498273744803398,0.323662838819479
6359,5518,0.00035057478571206,0.00428364493884876,0.0649941057012102,0.338948337362541,0.262993503428563,0.000439763472238623,0.327990070310886
8289,3122,0.00146696045546763,0.0083015387280911,0.155926796353271,0.412899444806335,0.184381101297362,0.00136327013665685,0.235660888222816
4497,8035,0.00431655622682067,0.0180609338822948,0.241877194043346,0.311398191243618,0.159435037134985,0.0272247232848696,0.237687364184067
3674,2040,0.000131132560494881,0.00112614324003517,0.603392946962199,0.103201337995472,0.233977373340352,0.000470843300022554,0.0577002226014247
8565,2163,0.000826946678608362,0.00764162343961501,0.0395404763445886,0.247246242801652,0.501838709099021,0.00332358107581039,0.199582420560705
4636,7076,0.00186020184158111,0.00404878763153933,0.145661950044056,0.30697227347153,0.227111203436365,0.00788472549656536,0.306460858078363
5257,4799,0.000852734658540753,0.00682640345506457,0.0447225763226759,0.251305837478298,0.401886720546452,0.000311592094802396,0.294094135444166
4910,8754,0.00200731266022121,0.0106749122820326,0.137312124049171,0.426133700076553,0.127366706529485,0.0529225454111163,0.243582698991421
4086,4918,0.000309762224711565,0.00122989509145298,0.0785408695581588,0.327476163226386,0.415262450708707,0.000186418193916946,0.176994440996666
8769,7557,0.00168788683172191,0.0188372289097152,0.105260172570575,0.519216210047737,0.052013977264376,0.00113900410037795,0.301845520275497
6843,2522,0.00174609739657288,0.00360437967065092,0.10796248252407,0.411810824998133,0.178872468191273,0.00191721016002445,0.294086537059276
3809,6836,0.00274676202900789,0.00281928702205362,0.115888495777633,0.325938457966308,0.257051423034703,0.00897311126586652,0.286582462904428
4707,2161,9.30941250907661e-06,0.000262768602953056,0.12513228451836,0.250989044417967,0.591553105113374,0.000398882098674684,0.0316546058361627
4497,8514,0.0027614374579074,0.0107048253814584,0.103872275983296,0.404597221688185,0.0908480064376067,0.00795325708789798,0.379262975963648
4499,4918,0.00275300956517545,0.011781208846632,0.063310892638881,0.219494642626344,0.478616114321845,0.0383814965071035,0.185662635494019
10147,7318,0.0020056288226443,0.0158417619644175,0.108659242915473,0.427058530263859,0.092089716925602,0.00284553627514476,0.351499582832859
10149,3482,0.000465225468919033,0.00490645534583654,0.497382546691068,0.182494082147234,0.247334109398474,0.00588104876297598,0.0615365321854921
