"x","y","Endothelial cells","Neutrophils","Astrocytes","OPCs","Epithelial cells","Proliferation","Mesenchymal cells","Macrophages/Microglia cells"
7390,9475,6.73863155329677e-14,0.00524532587264409,0.916284226610472,4.68470836730032e-08,1.1063925829118e-05,1.2844571247724e-18,0.001114845072655,0.0773444916712486
9047,2523,9.06833450642037e-12,0.00792214963202532,0.792818575992768,6.34715066308409e-09,2.07033281116631e-06,4.75045610447912e-16,0.0842785445938521,0.114978653092324
4773,8275,0.000149763872847389,0.0187872709610093,0.747705090057154,0.000523516481401586,0.0889022088408307,7.01705254225657e-08,0.0344053998143731,0.109526679801858
7392,5639,0.188893227396034,0.00589471456985853,0.757528015775317,1.16912626148792e-07,3.85367923699085e-05,8.41177173823637e-14,0.000347035749611407,0.0472983528040995
7942,8276,5.02894686246395e-07,0.0191082197649872,0.941396140591204,2.26699309795212e-09,2.13765771648452e-07,5.41406996564704e-19,1.97845078501923e-11,0.0394949206965728
5670,4799,1.02359597279812e-14,0.00971846270433029,0.817410608345685,8.57041390520953e-09,2.28912549381369e-06,9.46593905052233e-18,0.0723388070028278,0.100529824251239
9872,6119,0.749181473452647,0.0641560558983929,0.065092579168266,4.55544772822675e-07,8.39882120197297e-06,1.07389852021149e-14,0.0127981056458644,0.108762931468844
8357,4680,0.630847841985413,0.029436693923692,0.290969161238969,4.58283312054191e-08,2.73250229867836e-06,9.92904020458938e-15,0.00227941437193031,0.0464641101493561
4982,4319,6.59786253760644e-09,0.0130820525149157,0.733943938884396,9.08502748128631e-06,0.000436672090185609,1.16950685305648e-14,0.0671704115760558,0.185357833309092
5532,5038,1.82826199794902e-11,0.0090107513149803,0.813727098634818,3.32083156827719e-06,7.87647240982901e-05,5.17085977275532e-14,0.00562846047942507,0.171551603996775
3808,8994,0.000590768411066729,0.00432005501048031,0.914959912267192,0.000194123864427235,0.00500929978919694,1.12919876171603e-10,6.8515076868738e-05,0.0748573254678481
8702,4560,0.069826108248137,0.0153100925886822,0.764881610490167,2.08298247321165e-05,0.00179419304792096,9.37319657516197e-09,0.0424111017702421,0.105756054656922
4153,8634,0.247119125803957,0.00524090911615995,0.652114196678703,0.000368251827339634,0.0165814155964341,8.05250476337331e-10,6.33540731440381e-05,0.0785127460990122
7944,4440,0.265587241797331,0.0476239827198744,0.485749820315071,2.07493569423181e-05,0.00139656481215132,1.62724160735198e-09,0.085715125749759,0.11390651362163
8701,6718,2.07684784761154e-16,0.00271506628913521,0.960796844172487,6.23433273648311e-10,6.30406694335574e-08,1.83474101705097e-21,1.59718532223181e-12,0.0364880258726779
5602,3720,7.91235232341676e-07,0.00789736251148851,0.749003236214934,1.28462959818661e-05,0.000458767354817643,2.41301216738883e-13,0.0547289779058078,0.187898018481497
4499,5398,3.69565314104325e-07,0.0197464148817976,0.676115063526545,3.522524789321e-05,0.00284679013465979,8.3832867244656e-11,0.0702490722517121,0.231007064308245
9321,6838,9.69363063572951e-13,0.00711303478446775,0.933269112067599,2.21332274254229e-07,9.56187034007915e-06,2.4734609008687e-15,7.82188080519202e-06,0.0596002480635421
4085,6356,1.71307486846802e-09,0.017180662915253,0.656301323120178,5.41408928602905e-07,6.21883135019079e-05,2.40922487302258e-12,0.113738300660813,0.212716981865841
5668,8875,7.5316520168524e-05,0.00838100959804404,0.793559420760244,0.000314447052737568,0.0275439297718366,3.19735535276837e-09,0.0296909413094804,0.140434931790133
9528,6719,1.9643848598871e-12,0.00551847605911292,0.938768639366212,8.11017039703576e-08,7.39770079540017e-06,9.3794328374003e-16,2.14155318994769e-05,0.0556839902383111
4222,7316,0.00162290679029355,0.0264412848662776,0.627877546688812,0.0168397305025675,0.185232887977658,6.92628805857203e-08,0.0142878903657495,0.127697683545761
4910,9713,0.000246179325341552,0.00963873330468016,0.754583969485259,0.00420569222783645,0.116966876874036,1.45770083733076e-07,0.0252422872897122,0.0891161157230512
7874,7677,5.45737347341923e-11,0.0230690067545552,0.893077047343206,1.81171727839546e-06,3.74556432139656e-05,2.87886635074904e-14,3.25879481814212e-06,0.0838114196923262
8218,8277,5.36203784443744e-05,0.00258328513553681,0.96278520308076,2.02848614576866e-09,2.81396812077159e-07,7.69302311015017e-19,9.254466966404e-15,0.0345776079799518
9529,3602,0.0268287919553591,0.0104991216326821,0.646059295420306,1.24697986610511e-05,0.000450126409858553,3.93689128004208e-15,0.0608962572370809,0.255253937546048
4705,6956,0.000526336845531609,0.00948895474917614,0.863246929560713,0.000242599720692031,0.0197721385075352,2.08461193977827e-10,0.00331573542313662,0.103407304984754
9664,9356,0.0513688449105181,0.0199641584633219,0.647903165707846,1.27092784833911e-05,0.000218226334371929,1.41617894391318e-15,0.0238948649580527,0.256638030347405
6567,2042,6.57106241358254e-10,0.00729338553225677,0.553550856061439,1.9507231293952e-07,7.09583001172457e-06,1.27587506251225e-14,0.212342722166288,0.226805744680572
7184,9595,3.67122483876021e-07,0.00624413580295811,0.883518649713041,8.48774781547525e-05,0.00235369684309742,2.25922198136579e-12,2.61862004430485e-05,0.107772086837562
4430,5757,0.000273306238718524,0.0111164112798214,0.79219294605382,0.00014161795665347,0.00785337627658778,5.54423217064331e-11,0.0298194923138238,0.158602849825133
4980,7676,1.48385008151472e-06,0.0186423938579599,0.662580986015025,0.000244033226433548,0.017003585543239,7.32596767415123e-06,0.169440315021756,0.132079876517831
7256,2042,2.49357790738841e-13,0.0031120698368918,0.778110458589763,3.24460094671555e-08,4.9128301060817e-06,1.74599378562578e-15,0.098296452816735,0.120476073480243
