"x","y","Macrophages/Microglia cells","Endothelial cells","Neurons","Proliferation","Astrocytes","OPCs","Oligodendrocytes"
3604,3599,0.0341775416451998,0.0721376115311907,3.55957439522761e-11,2.35065519041409e-07,0.893524836333965,1.29952772941624e-08,0.000159762393252805
4223,4918,0.249641852589777,0.031498262540457,1.64477181768407e-09,7.67531815325942e-07,0.711150694129955,1.33549277519175e-07,0.00770828801394649
3742,3119,0.309969531040461,0.0915093409842243,4.1047915688599e-08,2.80900380013609e-05,0.591613217128826,3.78983340332055e-07,0.00687940077723148
10215,9596,0.285069851380444,0.00990791215442609,2.25293396328396e-07,1.0146478944584e-06,0.607428749246211,4.7661402657878e-06,0.097587481137363
6082,8635,0.100919178255523,0.276638560453731,1.72832620701975e-09,1.9205829025513e-06,0.613800308173229,2.97428469726827e-06,0.00863705652159069
7048,5758,0.164572396959861,0.193852784208613,1.87266569206916e-08,1.08256748324224e-05,0.61598574197077,3.2487074544435e-06,0.0255749837518127
4223,4678,0.052627271657915,0.0211706431470129,5.41497720692674e-08,3.54895095067287e-07,0.915900621724205,7.11977225508877e-06,0.0102939346537449
7668,5639,0.248307776912474,0.188410898875705,2.12437304980144e-08,0.000124301105215598,0.520521117471881,3.41356019244771e-07,0.0426355430349744
4361,6117,0.236022549696169,0.388713685102766,3.84291728464011e-06,0.000272369091415685,0.351311345879622,0.00123372051716123,0.0224424867955817
7875,5759,0.299253957318629,0.0889556735498094,3.87150045449311e-08,9.40350350701307e-06,0.593109008686852,8.20656762663699e-07,0.0186710975694347
9871,8517,0.290704544896798,0.0518485286042682,0.000846677603718262,6.57014771919866e-05,0.583519858389942,0.00028846647391474,0.0727262225541674
5048,8515,0.178253605048845,0.351194294402749,1.43732596230205e-07,8.63717208931001e-05,0.457021989696562,1.62524296410865e-05,0.0134273429687137
8564,4560,0.484907459070899,0.135282789053419,0.0120817924572928,0.00466541941512008,0.33911489448236,0.000627709643786807,0.0233199358771216
7391,8516,0.255299889396499,0.133250955702239,2.24157858585105e-08,8.8219435717575e-06,0.577598474216481,1.94006519731295e-06,0.0338398962602263
7116,7796,0.214275858577526,0.0194229537182466,3.14808211880719e-08,7.05412170511749e-07,0.738325809311288,3.36187848894303e-06,0.0279712796214583
4427,10313,0.156942492336735,0.199412000471411,4.8270543273575e-09,1.01263794164843e-05,0.639791176775908,2.00228234170234e-06,0.00384219692713266
9734,7318,0.103603420728904,0.0774695770966174,6.08550538201648e-08,4.27077564053309e-06,0.779290620787312,7.16272787748932e-05,0.0395604224776972
7390,9475,0.147748768740468,0.0454734217733727,4.98226809296915e-09,6.17840567012089e-07,0.792787788620393,2.74919744458811e-06,0.0139866488454866
9047,2523,0.352271768420982,0.0068129795658887,6.02425356764337e-08,2.41340561920527e-06,0.637050291691027,3.04734518046549e-06,0.00385943932876703
4773,8275,0.182470077557457,0.401857161668966,3.75452287370561e-09,4.80721229043096e-05,0.40877974578663,5.50548548083558e-06,0.00683943362403899
7392,5639,0.22283171820701,0.14975346986481,1.47571587343398e-08,4.56324150569313e-05,0.588177812041348,1.01130791227098e-06,0.039190341406704
7942,8276,0.0810494308554144,0.0176611149528793,1.02387878013713e-08,6.62977427852888e-07,0.841816223137418,4.48468081196345e-07,0.0594721093699911
5670,4799,0.19237107612872,0.0619647343422085,2.86541922376879e-08,1.69234106129606e-06,0.680856230293439,1.68113821761292e-06,0.0648045571021612
9872,6119,0.409554074489479,0.155211148572335,3.81846052904296e-06,0.00010862870587567,0.382979495924634,3.38588102200664e-06,0.0521394479661258
8357,4680,0.331622881736629,0.18347577827853,1.18530575374588e-05,0.000280237554045051,0.447193012264075,3.76535837958944e-06,0.0374124717508034
4982,4319,0.220748935815933,0.0616661224933498,2.02972788895671e-07,1.80256911710404e-06,0.700113119752551,1.18434845661066e-05,0.0174579729116943
