"x","y","Astrocytes","Epithelial cells","Neutrophils","OPCs","Endothelial cells","Proliferation","Macrophages/Microglia cells","Mesenchymal cells"
6839,8995,0.225253552846771,1.11951725138284e-05,0.287877825739259,1.35942819671352e-06,5.50352034144742e-05,2.84097794346592e-08,0.410188765417167,0.0766122377828983
3810,5877,0.185672682001825,3.50301690834126e-08,0.469096300001272,4.55025571143521e-10,2.91332574250159e-07,6.69633221987165e-12,0.274653979493914,0.0705767116785244
3534,4918,0.110063240026721,6.2853010139684e-09,0.396737685052722,2.58443699843044e-10,2.52686508168431e-08,6.56261687031993e-12,0.351930773451119,0.14126826965048
6015,4679,0.103947190187445,1.18721060169013e-07,0.35340375110743,1.22368311935438e-08,1.26337148032892e-05,3.47483603708452e-11,0.39783538890383,0.144800905093852
8633,4680,0.0468960693330369,0.000222767158290576,0.382518466969993,3.60116909507497e-05,0.299763039713768,1.8404711977959e-05,0.149447431083285,0.121097809338698
3880,2640,0.306476171760785,1.43133282755405e-11,0.354417036546372,1.48709591059891e-13,4.3386606143079e-09,4.84129337379467e-16,0.288479663152882,0.0506271241868383
8289,4320,0.145613285323309,4.50058452349791e-06,0.557276820398346,4.82804920642132e-08,0.00274562436439356,1.05264538961064e-07,0.21439210058977,0.0799675151946268
6426,8515,0.187115561950781,0.000456637837995194,0.312519878969373,3.20985748221715e-05,0.153895824210859,8.90040251636832e-07,0.282064916352707,0.0639141920632113
8492,10195,0.272842717871584,1.43972916026718e-09,0.479018923104605,2.96400064017532e-11,2.49995667149941e-09,1.08586507404717e-15,0.209301681771781,0.038836673282703
7600,3121,0.0376795066932756,7.59575378777975e-08,0.312136510572877,2.84729495614634e-09,4.98589484462241e-08,7.90311224740071e-12,0.363538832889354,0.286645021172809
9391,5040,0.0184336547094251,0.00147263288473314,0.381423707558159,4.67254684876247e-05,0.156410174544985,0.000553523598854684,0.362536047259711,0.0791235339756442
6635,3600,0.0624936516503151,1.23220704193609e-10,0.365594897699157,7.23621848271918e-13,9.1359532648092e-10,5.13597444638594e-15,0.490645475236265,0.0812659743767179
3535,3239,0.201121339845514,1.89923775564077e-10,0.430839242046429,4.74962754241053e-12,1.39428981166831e-08,2.11928187858371e-14,0.331373294062565,0.0366661099078996
9458,7798,0.274957810646439,2.66469692789445e-08,0.370473686265627,1.63632743950765e-09,4.78617783287731e-09,3.48946390616994e-12,0.320953285958352,0.033615184056618
3122,2759,0.194416425618764,1.25263442269252e-07,0.430348991380823,7.28024480141165e-09,1.40826481562792e-05,2.34907168171344e-10,0.295897554817376,0.0793228127562868
6634,7437,0.269263208071941,3.85670943861045e-09,0.450542324789436,4.17918548249948e-11,5.98047600638474e-07,4.45245536029708e-12,0.19721572884561,0.082978136342459
9115,5999,0.0295663924275489,0.000203814360287952,0.339410110514122,1.23783894563848e-05,0.267325533099808,7.00250468216977e-08,0.28625859148077,0.0772231097029598
5189,2281,0.179479665508105,2.07933723849094e-12,0.510992439883102,1.35597349093794e-14,3.42278858872539e-12,6.18330197534323e-18,0.247700616375441,0.061827278227836
9114,8157,0.290504937435696,1.01926897329909e-09,0.43747087474059,2.43007011540469e-11,1.35021435527468e-09,1.99436646527535e-14,0.245014200680113,0.0270099847497966
6014,5638,0.336974885821924,4.80857442027149e-07,0.345083023524324,2.97496042775856e-08,6.62884896177559e-08,6.02347300137354e-10,0.26454324601425,0.0533982671416191
5326,3959,0.182678093967002,4.93461591256028e-13,0.465382725114005,4.46383664888227e-15,6.08225564084517e-13,2.09471732805829e-18,0.308000620281982,0.0439385606359052
5116,10313,0.0435502531837689,4.1833392115306e-06,0.309056325271279,4.14660263522484e-07,7.6768923393867e-05,1.2936455168231e-09,0.30151411480517,0.345797938523267
3879,5277,0.141939123690428,1.74130761256307e-07,0.362453237993366,8.64677073777450e-09,2.13645789492084e-07,5.66669639602241e-11,0.388159257720286,0.107447984115932
4290,9593,0.117309345570709,0.00010794031719154,0.438751507660345,4.38973765416356e-06,0.00420569973058725,2.95152960339659e-09,0.315366279019596,0.124254835012387
5257,5278,0.200574864791529,5.74062135469647e-08,0.382260613559397,4.51957830012384e-09,4.5249102282959e-09,1.82760693615734e-12,0.295457403545267,0.121707051651277
5050,5398,0.0804086812628012,7.14585359064992e-09,0.379703229504727,3.42995265098818e-10,6.84964814969796e-09,1.50318234425098e-13,0.359766729748599,0.180121345145225
7253,8036,0.216530279922228,1.79944541928785e-07,0.521482430161179,4.75803675753006e-09,2.72493513614975e-05,2.78926480535314e-11,0.213236634961927,0.0487232208728327
8426,5519,0.039946644173585,3.75490861487227e-07,0.450610419196298,4.51350799461365e-08,0.192132246022684,2.28514111575942e-11,0.257895450161838,0.0594148197968019
4774,6597,0.116076644013411,2.70377393811319e-09,0.432321395196444,1.81794532577683e-11,8.51925637600976e-09,2.34293259405979e-14,0.390798479164908,0.0608034703840034
6912,2402,0.30737133157689,3.63645755195579e-11,0.427247981922078,3.30023734751145e-13,4.75492847863304e-11,1.69582618444898e-15,0.233934434492299,0.0314462519244882
8428,1683,0.166655565538007,3.49079339275681e-09,0.473671624981899,1.32520001577498e-10,2.72890830027343e-09,4.62868452882945e-13,0.250778723798442,0.108894079328967
5809,1922,0.195957529979026,3.7501787580312e-10,0.376256732672589,1.21461031320725e-11,3.93842112645174e-09,5.36076268509684e-14,0.310160893386003,0.117624839636744
8975,9596,0.390258543742959,1.462751733053e-10,0.413781097298319,1.2900282657678e-12,2.75265523275991e-10,8.5059989854902e-17,0.181249846086856,0.0147105124490347
5117,8635,0.246178662986818,0.0011141526757123,0.464161984008966,3.55149344275935e-05,0.0166632403946875,5.37273095227182e-06,0.164393799777808,0.107447272490628
4636,6117,0.303588134708278,4.48074476129543e-10,0.43599021124116,4.84493394624536e-12,5.36688629559885e-09,4.73235893564544e-15,0.231318824861682,0.0291028233690702
9598,3961,0.0921436339371775,0.0030113652144501,0.508867761597881,4.57069378339444e-05,0.0657016700902441,0.00166523391613579,0.227267958452722,0.101296669853556
6908,10314,0.217396913280847,0.00024308753931775,0.338240271105316,5.64865470017445e-06,0.00519084683851737,3.19988990405938e-05,0.350491936207737,0.0883992974745244
10009,7798,0.408844153605734,2.22644917102139e-11,0.382652211489593,5.73671812646022e-13,2.35402892758956e-11,5.49803574611166e-16,0.200029336927462,0.0084742979308318
