"gene","avg_log2FC","pct.1","pct.2","diff.pct","p_val","p_val_adj","cluster"
"WLS",1.76806169630874,0.267,0.109,0.158,5.21208866568916e-51,1.23724560746129e-46,"3"
"TAGLN2",1.75883974471427,0.237,0.095,0.142,1.62788387401638e-45,3.86427074014008e-41,"3"
"RGS3",1.74981275392692,0.149,0.054,0.095,6.46001324817826e-32,1.53347794485256e-27,"3"
"CA9",3.52253148374905,0.13,0.018,0.112,2.07249396223318e-74,4.91968616754912e-70,"4"
"TRIB3",3.4799168180005,0.117,0.015,0.102,3.395251912408e-70,8.0596489896741e-66,"4"
"RN7SK",3.39139804604616,0.173,0.041,0.132,3.80494244231761e-59,9.03217236957355e-55,"4"
"STC2",3.05647155835021,0.133,0.026,0.107,9.29005015478575e-55,2.20527210574304e-50,"4"
"RP11-386G11.5",2.9737539407422,0.365,0.159,0.206,6.31900384298042e-59,1.50000513224669e-54,"4"
"DDIT3",2.95568145129801,0.598,0.242,0.356,9.95807247696579e-155,2.36384724458214e-150,"4"
"HIST1H2BD",2.93785552437648,0.105,0.025,0.08,8.00043839763434e-35,1.89914406683044e-30,"4"
"ADM",2.91837393366885,0.242,0.043,0.199,3.2813584180477e-112,7.78928861276164e-108,"4"
"P4HA1",2.88367110332349,0.232,0.064,0.168,2.96233071088358e-67,7.03198064149543e-63,"4"
"SPTY2D1",2.65865658211895,0.322,0.082,0.24,7.37122704573023e-107,1.74978187611544e-102,"4"
"HILPDA",2.61810926086612,0.349,0.12,0.229,2.37679691978814e-81,5.64204052819308e-77,"4"
"ERO1A",2.55361314567451,0.133,0.036,0.097,1.39753422856694e-37,3.31746675177221e-33,"4"
"KLF10",2.53226301090597,0.144,0.062,0.082,1.03520848803354e-19,2.45737790889403e-15,"4"
"ATF5",2.51416853361189,0.166,0.045,0.121,3.20616517974339e-47,7.61079490367486e-43,"4"
"VEGFA",2.50408781884777,0.561,0.183,0.378,6.96819971528624e-159,1.65411124841465e-154,"4"
"PDK1",2.46993306146785,0.107,0.032,0.075,2.46310720434598e-26,5.84692388167649e-22,"4"
"NRN1",2.4620750375753,0.222,0.077,0.145,7.77755185280629e-46,1.84623525881916e-41,"4"
"INSIG2",2.46069369879166,0.186,0.054,0.132,2.93133604805357e-48,6.95840551086957e-44,"4"
"DNAJC25",2.40701258433527,0.178,0.047,0.131,3.30727310872607e-52,7.85080490549395e-48,"4"
"CTA-29F11.1",2.39300533312102,0.12,0.031,0.089,1.98079834298678e-36,4.70201910658202e-32,"4"
"MFSD2A",2.38841624196628,0.12,0.03,0.09,2.97214522628122e-37,7.05527833814637e-33,"4"
"HERPUD1",2.34289064031645,0.279,0.078,0.201,1.10283951167802e-78,2.61792043282128e-74,"4"
"CREBRF",2.3186942118346,0.188,0.055,0.133,4.06763513876593e-48,9.65575229240257e-44,"4"
"MXD1",2.30733029926525,0.164,0.045,0.119,4.34659440297556e-45,1.03179457937834e-40,"4"
"SLC3A2",2.30177482573948,0.359,0.136,0.223,5.83849642101732e-73,1.38594228042109e-68,"4"
"ATF3",2.21782359704739,0.188,0.065,0.123,2.5701801679066e-38,6.10109368257669e-34,"4"
"NDRG1",2.20514599348855,0.105,0.024,0.081,2.9608355278354e-35,7.02843137597568e-31,"4"
"DDIT4",2.17551407254659,0.284,0.098,0.186,4.66301347097181e-60,1.10690613773929e-55,"4"
"BHLHE40",2.165704158974,0.113,0.047,0.066,3.72974724226347e-16,8.85367400368503e-12,"4"
"FAM162A",2.12502266877091,0.365,0.172,0.193,7.185488692665e-52,1.70569130586482e-47,"4"
"KCNN3",5.26522470028285,0.327,0.007,0.32,0,0,"5"
"APLNR",5.14789045714603,0.109,0.003,0.106,8.17763193205676e-139,1.94120626803163e-134,"5"
"AQP4",4.97121980719532,0.929,0.09,0.839,0,0,"5"
"RP11-986E7.7",4.92266710023392,0.101,0.002,0.099,4.59847396831792e-141,1.09158575059931e-136,"5"
"FAM107A",4.878076867457,0.629,0.031,0.598,0,0,"5"
"MYBPC1",4.60147854389355,0.104,0.002,0.102,5.92657133105801e-140,1.40684950256655e-135,"5"
"CHI3L1",4.58625639853869,0.391,0.038,0.353,7.41163303151895e-299,1.75937344902197e-294,"5"
