"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diff.pct"
1.10075363049913e-281,4.00935084001665,0.252,0.01,2.61296896807883e-277,"7","MYRF",0.242
2.55135608771846e-114,3.98497813681704,0.11,0.005,6.05640908102607e-110,"7","RNF125",0.105
6.37692509275645e-107,3.8730657914551,0.171,0.019,1.51375447851853e-102,"7","SEMA3E",0.152
0,3.84046856239184,0.655,0.068,0,"7","UGT8",0.587
6.56787329549655e-131,3.84017745111165,0.13,0.006,1.55908176288497e-126,"7","PPP1R16B",0.124
3.01692852570527e-218,3.77848729741598,0.289,0.024,7.16158493431917e-214,"7","SEMA4D",0.265
1.60141628025587e-158,3.76748924962282,0.211,0.018,3.80144196607138e-154,"7","RP11-431H16.2",0.193
1.71426743991891e-250,3.76507191136218,0.223,0.008,4.06932804887951e-246,"7","MOG",0.215
2.78144660361887e-166,3.75586219945831,0.171,0.009,6.60259794767047e-162,"7","CDK18",0.162
0,3.72498979033949,0.443,0.028,0,"7","TF",0.415
4.04429228049209e-100,3.70703692028478,0.115,0.007,9.60034101543212e-96,"7","SHROOM4",0.108
0,3.622661985599,0.458,0.044,0,"7","TCF7L2",0.414
0,3.58136540389088,0.679,0.053,0,"7","PLP1",0.626
7.43350505420847e-219,3.57898719232041,0.368,0.045,1.76456542976801e-214,"7","NFASC",0.323
5.11813444912834e-207,3.57554975953945,0.232,0.014,1.21494275553409e-202,"7","AATK",0.218
9.7588384903135e-210,7.39912514196122,0.14,0.001,2.31655308083062e-205,"8","PHOX2B",0.139
0,6.20904126922817,0.461,0.013,0,"8","DLX6-AS1",0.448
7.05608043074656e-194,6.0348198564357,0.169,0.004,1.67497237265062e-189,"8","DLX6",0.165
2.48402781255949e-158,6.03280732375954,0.152,0.004,5.89658522145371e-154,"8","RP11-457P14.4",0.148
1.06391173535769e-300,4.91050269457081,0.364,0.016,2.5255136773921e-296,"8","DLX5",0.348
1.6905425328285e-180,3.63830950791879,0.458,0.056,4.0130098644283e-176,"8","CELF4",0.402
6.43605569986552e-56,3.49188504616545,0.152,0.019,1.52779090203408e-51,"8","CAMK4",0.133
1.29400656288186e-92,3.38429834177597,0.271,0.037,3.07171277896895e-88,"8","PLXNA4",0.234
3.41365053318105e-37,3.37377202374062,0.166,0.033,8.10332363566517e-33,"8","DLX1",0.133
4.66535731308916e-77,3.33001345990733,0.192,0.022,1.10746251898111e-72,"8","SPOCK1",0.17
6.38983340242994e-147,3.28573943870532,0.513,0.091,1.51681865306882e-142,"8","SYT1",0.422
1.98126877379781e-32,3.11945351920976,0.114,0.018,4.70313581524123e-28,"8","CHD5",0.096
8.16313525816314e-47,3.11140880857491,0.117,0.013,1.93776504758277e-42,"8","CHRNA3",0.104
1.18233528210645e-45,3.04661505228363,0.105,0.011,2.80662749266428e-41,"8","SLC17A8",0.094
6.40532936263807e-62,3.02285009692087,0.338,0.085,1.52049708410303e-57,"8","HAND2",0.253
1.98240615226562e-44,2.82026729187168,0.286,0.08,4.70583572424812e-40,"8","TFAP2B",0.206
6.77834426217901e-42,2.48878265317662,0.137,0.02,1.60904336095605e-37,"8","SRRM4",0.117
1.55847516179286e-22,2.42108404048,0.128,0.031,3.69950833906388e-18,"8","NMNAT2",0.097
4.12241347018422e-120,2.35448793166213,0.866,0.395,9.7857850955233e-116,"8","MEG3",0.471
3.8036865611851e-16,2.2845087977113,0.111,0.031,9.0291911589412e-12,"8","RBMS3",0.08
3.61954766752238e-110,2.25227046077065,0.63,0.171,8.59208225316462e-106,"8","HMP19",0.459
1.1931494751982e-67,2.25003493966194,0.356,0.081,2.83229822422549e-63,"8","SRRM3",0.275
6.77748011549182e-18,2.23972872564832,0.12,0.032,1.60883822981545e-13,"8","INA",0.088
4.3862417172544e-21,2.21552972655209,0.166,0.051,1.04120605884185e-16,"8","AMPH",0.115
2.50306236539497e-145,2.2141543620826,0.901,0.326,5.94176944297459e-141,"8","STMN2",0.575
2.31826039408541e-28,2.16391722308418,0.12,0.022,5.50308652347995e-24,"8","SCN3B",0.098
1.09090475287701e-28,2.13356665323469,0.14,0.029,2.58958970237945e-24,"8","SYT4",0.111
1.10489430037943e-17,2.12987349327217,0.14,0.042,2.62279809024069e-13,"8","SCN2A",0.098
