"gene","avg_log2FC","pct.1","pct.2","diff.pct","p_val","p_val_adj","cluster"
"GRTP1",1.82408608855721,0.317,0.128,0.189,3.39012925036137e-98,8.13970033011765e-94,"0"
"COL4A1",1.6798607933276,0.204,0.118,0.086,3.30703806070953e-30,7.94019838376359e-26,"0"
"LAMP1",1.64174634529999,0.478,0.389,0.089,1.2721289146392e-54,3.05438152404873e-50,"0"
"BCAN",1.6330884738952,0.274,0.173,0.101,8.0295957836904e-36,1.92790594766406e-31,"0"
"ATP11A",1.6234157612846,0.118,0.082,0.036,3.74015358864436e-09,8.9801087663351e-05,"0"
"PMP2",1.58414570640587,0.477,0.295,0.182,1.28138006681757e-95,3.076593540429e-91,"0"
"IRS2",1.53430120381679,0.436,0.204,0.232,3.9273808773207e-118,9.42964148644701e-114,"0"
"TSC22D4",1.4710191072564,0.131,0.102,0.029,1.80830153251154e-06,0.0434173197956021,"0"
"PTPRZ1",1.04172190097914,0.45,0.416,0.034,3.9330246596724e-26,9.44319220787344e-22,"0"
"GFAP",1.04166715677264,0.863,0.752,0.111,2.96102644085723e-136,7.1094244844982e-132,"0"
"ID3",1.01760188181643,0.369,0.341,0.028,2.37036216740228e-14,5.69123956393288e-10,"0"
"AQP4",0.976271468110242,0.749,0.574,0.175,3.83576572582361e-117,9.20967350770248e-113,"0"
"RP11-472K17.3",0.965355991577948,0.108,0.067,0.041,3.65857255486559e-10,8.78423270423228e-06,"0"
"DPYSL2",0.937628949541438,0.431,0.463,-0.032,2.05468332242704e-10,4.93329465714732e-06,"0"
