"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diff.pct"
4.3353292168987e-209,5.04018401953478,0.333,0.027,1.01988619827542e-204,"7","DLX1",0.306
1.9111840325676e-196,4.90869383038141,0.202,0.007,4.49606043661528e-192,"7","TAC3",0.195
1.05239463412211e-164,4.83113357577425,0.225,0.014,2.47575837677226e-160,"7","ELAVL4",0.211
3.09877344172486e-240,4.6087732147659,0.358,0.026,7.28986452165773e-236,"7","DCX",0.332
2.46909284132729e-124,4.22348065920169,0.19,0.014,5.80854090922246e-120,"7","ELAVL3",0.176
2.5007206782669e-48,4.16625845291443,0.106,0.012,5.88294539562288e-44,"7","DLL3",0.094
4.40436740540408e-79,4.02232948412361,0.183,0.023,1.03612743212131e-74,"7","STMN2",0.16
6.93853364141869e-183,3.82731684987025,0.505,0.086,1.63229003914375e-178,"7","GADD45G",0.419
4.72302191710032e-112,3.81868962794159,0.278,0.038,1.11109090599785e-107,"7","PAK3",0.24
2.9460601864424e-35,3.79352457152149,0.101,0.016,6.93060658860575e-31,"7","GAD1",0.085
2.06921197511228e-107,3.68375660326525,0.22,0.024,4.86782117145164e-103,"7","GNG4",0.196
3.18604163936846e-77,3.61350134102826,0.239,0.041,7.49516295661431e-73,"7","ETV1",0.198
5.88530113294057e-51,3.56465823571844,0.158,0.027,1.38451709152427e-46,"7","SYT1",0.131
1.19474550615771e-50,3.50833175934722,0.122,0.016,2.81063880323601e-46,"7","HES5",0.106
5.02328715096723e-110,3.46617990694204,0.273,0.037,1.18172830226504e-105,"7","TOX3",0.236
1.99886583056079e-189,3.42292940073426,0.686,0.173,4.70233186639425e-185,"7","CCND2",0.513
3.21636107399797e-39,3.3588433862017,0.115,0.018,7.56648942658022e-35,"7","CHGB",0.097
1.92808881633808e-62,3.31768435909962,0.103,0.008,4.53582894043533e-58,"7","WSCD1",0.095
1.04500864982116e-54,3.30746423499457,0.174,0.03,2.45838284870429e-50,"7","GLCCI1",0.144
8.77918504118614e-53,3.30491867848056,0.174,0.031,2.06530328093904e-48,"7","GRIA2",0.143
3.13308627052256e-48,3.19535986775097,0.11,0.013,7.37058545140431e-44,"7","GRIK2",0.097
7.75314904328046e-107,3.18628291772871,0.644,0.25,1.82392831243173e-102,"7","CD24",0.394
1.06022434977245e-83,3.17417112175093,0.278,0.051,2.4941777828397e-79,"7","HES6",0.227
1.45842421723907e-74,3.15433446196636,0.323,0.078,3.43094297105492e-70,"7","MLLT11",0.245
3.11318605661748e-84,3.07795971212725,0.298,0.059,7.32377019819262e-80,"7","SCG3",0.239
2.77371052351123e-27,5.14734586920257,0.135,0.033,6.52515400656018e-23,"8","COL4A1",0.102
5.02464225117099e-24,4.13159159533621,0.102,0.022,1.18204708958798e-19,"8","COL4A2",0.08
9.54897800042535e-08,3.09261661453481,0.127,0.065,0.00224639707460006,"8","CYTOR",0.062
1.73508960387266e-09,2.97959179281545,0.122,0.055,4.08179829311044e-05,"8","AC068491.1",0.067
1.19889430561468e-12,2.6877519920836,0.19,0.094,2.82039885395852e-08,"8","LAMA4",0.096
2.96673266249022e-08,2.49137602251331,0.11,0.05,0.000697923858850824,"8","AKR1B10",0.06
4.93385630276304e-09,2.11721899841249,0.127,0.059,0.000116068969522501,"8","IFITM2",0.068
1.6026551986586e-33,2.03196363447355,0.429,0.218,3.77024635484436e-29,"8","COL14A1",0.211
1.51238607934303e-37,1.97195080247776,0.469,0.229,3.55788825165447e-33,"8","PCP4",0.24
1.48615134545399e-08,1.85960945242216,0.177,0.099,0.000349617104018052,"8","GUCY1A3",0.078
