"gene","avg_log2FC","pct.1","pct.2","diff.pct","p_val","p_val_adj","cluster"
"PLAT",1.92878209693009,0.157,0.037,0.12,2.52674815930137e-77,6.33329426128889e-73,"8"
"LBH",1.92629257642396,0.127,0.031,0.096,9.17790994917241e-59,2.30044312876007e-54,"8"
"ZYX",1.84631655703559,0.458,0.128,0.33,1.89745069196635e-191,4.75596015941365e-187,"8"
"GAP43",1.83926629015403,0.936,0.495,0.441,0,0,"8"
"SLC4A7",1.8318180727046,0.297,0.085,0.212,6.97922673261446e-114,1.74934318052982e-109,"8"
"TIMP1",1.78790803882677,0.68,0.245,0.435,2.57646254218465e-231,6.45790336198584e-227,"8"
"ADAMTS9",1.74346593086942,0.126,0.031,0.095,1.21765032072559e-56,3.05204052889868e-52,"8"
"S100A16",1.67590514699845,0.473,0.157,0.316,1.42866414422322e-152,3.58094667749551e-148,"8"
"LPL",1.67487308273595,0.136,0.042,0.094,1.58998338726215e-45,3.98529336017258e-41,"8"
"NRP2",1.66436734638051,0.352,0.109,0.243,4.53663099297139e-119,1.13710655838828e-114,"8"
"FAM84A",1.66259516110917,0.152,0.041,0.111,1.84545667687869e-60,4.62563716059642e-56,"8"
"ENC1",1.58408323943482,0.32,0.111,0.209,1.02038476328267e-89,2.55759440916801e-85,"8"
"HOMER1",1.57919400117774,0.106,0.031,0.075,8.0393763755465e-39,2.01506968853073e-34,"8"
"CAMK2B",1.56973666815387,0.105,0.028,0.077,1.08988643138054e-43,2.73180034025533e-39,"8"
"CTNNAL1",1.56327338855725,0.229,0.069,0.16,1.19531164520962e-77,2.99604863871792e-73,"8"
"CX3CR1",16.2223358139322,0.188,0,0.188,0,0,"9"
"P2RY13",15.6069021566859,0.128,0,0.128,0,0,"9"
"RP5-1171I10.5",15.2517950099448,0.112,0,0.112,0,0,"9"
"CSF1R",13.0580613567556,0.178,0,0.178,0,0,"9"
"CD53",13.0006306189991,0.151,0,0.151,0,0,"9"
"C1QC",12.895958293615,0.351,0,0.351,0,0,"9"
"CD163",12.6686947376137,0.209,0,0.209,0,0,"9"
"GPR34",12.3429536835501,0.165,0,0.165,0,0,"9"
"IL1B",12.3307735449363,0.32,0,0.32,0,0,"9"
"HCLS1",12.3191801676021,0.256,0,0.256,0,0,"9"
"PARVG",12.3039400064181,0.126,0,0.126,0,0,"9"
"TLR2",12.2892618156601,0.159,0,0.159,0,0,"9"
"TMEM119",12.0737059886064,0.118,0,0.118,0,0,"9"
"APBB1IP",11.802928059489,0.364,0,0.364,0,0,"9"
"CLEC7A",11.7860167923772,0.172,0,0.172,0,0,"9"
"RP11-493L12.2",11.752376205757,0.151,0,0.151,0,0,"9"
"SYK",11.71116635162,0.171,0,0.171,0,0,"9"
"ITGB2",11.6016780068796,0.355,0,0.355,0,0,"9"
"RNASE6",11.5917925311301,0.153,0,0.153,0,0,"9"
"FYB1",11.5762887083985,0.545,0,0.545,0,0,"9"
"OLR1",11.5344700172759,0.409,0,0.409,0,0,"9"
"GPRIN3",11.5290393275054,0.145,0,0.145,0,0,"9"
"FCGR3A",11.4691345207664,0.337,0,0.337,0,0,"9"
"EVI2B",11.4581777410136,0.147,0,0.147,0,0,"9"
"NAPSB",11.4216878854164,0.161,0,0.161,0,0,"9"
"C1QA",11.3468379395454,0.558,0,0.558,0,0,"9"
"FPR1",11.3436677251106,0.248,0,0.248,0,0,"9"
"CCL3",11.3000621616488,0.558,0.001,0.557,0,0,"9"
"MSR1",11.295359048114,0.205,0,0.205,0,0,"9"
"IRF8",11.2829075916086,0.136,0,0.136,0,0,"9"
"FAM162B",14.789786085916,0.1,0,0.1,0,0,"10"
"ADGRF5",12.0449467724545,0.251,0,0.251,0,0,"10"
"DCN",11.0360779357219,0.488,0.001,0.487,0,0,"10"
"ENPEP",10.8571450801697,0.11,0,0.11,0,0,"10"
"COL3A1",10.5767925964459,0.395,0,0.395,0,0,"10"
"LAMC3",10.4502426454008,0.181,0,0.181,0,0,"10"
"PRKCDBP",10.2310686481271,0.137,0,0.137,0,0,"10"
"HIGD1B",10.2121065278419,0.388,0,0.388,0,0,"10"
"GRM3",10.0464746876082,0.117,0,0.117,0,0,"10"
"ACTA2",9.99671391469463,0.151,0,0.151,0,0,"10"
"PRKG1",9.92307627471583,0.107,0,0.107,0,0,"10"
"EDNRA",9.86944943990074,0.214,0,0.214,0,0,"10"
"SLC38A11",9.79213467134922,0.177,0,0.177,0,0,"10"
"COL1A1",9.75875395527256,0.197,0,0.197,0,0,"10"
"CD248",9.72946795778742,0.201,0,0.201,0,0,"10"
"LUM",9.53196186271738,0.161,0,0.161,0,0,"10"
"ITIH5",9.21532834063739,0.14,0,0.14,0,0,"10"
"PLXDC1",9.13051750385703,0.401,0.001,0.4,0,0,"10"
"ITGA1",9.02486540101168,0.428,0.001,0.427,0,0,"10"
"PHLDA2",8.91083271937826,0.117,0,0.117,0,0,"10"
"RGS5",8.6197025784016,0.508,0.009,0.499,0,0,"10"
"COL18A1",8.55651224929671,0.254,0.001,0.253,0,0,"10"
"NOSTRIN",8.48908739112844,0.201,0.001,0.2,0,0,"10"
"NID2",8.42794448983134,0.114,0,0.114,0,0,"10"
"FLT1",8.11353519127382,0.114,0,0.114,0,0,"10"
"MYO1B",7.93924272117073,0.348,0.002,0.346,0,0,"10"
"PIEZO2",7.87549870518126,0.114,0,0.114,0,0,"10"
"GUCY1A3",7.67133411492137,0.177,0.001,0.176,0,0,"10"
"CYSLTR2",7.65406148261589,0.11,0.001,0.109,0,0,"10"
"COL1A2",7.60416765864419,0.498,0.007,0.491,0,0,"10"
