"CellID","Interval","BaselineCellType","TargetCellType","Changed"
43682,"TF1→TF2","Macrophages/Microglia cells","Endothelial cells",TRUE
43683,"TF1→TF2","Macrophages/Microglia cells","Endothelial cells",TRUE
43684,"TF1→TF2","Astrocytes","Astrocytes",FALSE
43685,"TF1→TF2","Endothelial cells","Neurons",TRUE
43686,"TF1→TF2","Macrophages/Microglia cells","Endothelial cells",TRUE
43687,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43688,"TF1→TF2","Neutrophils","Astrocytes",TRUE
43689,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43690,"TF1→TF2","Astrocytes","Endothelial cells",TRUE
43691,"TF1→TF2","Endothelial cells","Astrocytes",TRUE
43692,"TF1→TF2","Fibroblasts","Neutrophils",TRUE
43693,"TF1→TF2","Fibroblasts","Proliferation",TRUE
43694,"TF1→TF2","Fibroblasts","Neurons",TRUE
43695,"TF1→TF2","Astrocytes","Fibroblasts",TRUE
43696,"TF1→TF2","Fibroblasts","Fibroblasts",FALSE
43697,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43698,"TF1→TF2","Endothelial cells","Astrocytes",TRUE
43699,"TF1→TF2","Neutrophils","Astrocytes",TRUE
43700,"TF1→TF2","Fibroblasts","Neurons",TRUE
43701,"TF1→TF2","Neutrophils","Fibroblasts",TRUE
43702,"TF1→TF2","Astrocytes","Astrocytes",FALSE
43703,"TF1→TF2","Astrocytes","Neurons",TRUE
43704,"TF1→TF2","Macrophages/Microglia cells","Astrocytes",TRUE
43705,"TF1→TF2","Macrophages/Microglia cells","Fibroblasts",TRUE
43706,"TF1→TF2","Endothelial cells","Neurons",TRUE
43707,"TF1→TF2","Macrophages/Microglia cells","Astrocytes",TRUE
43708,"TF1→TF2","Endothelial cells","Neurons",TRUE
43709,"TF1→TF2","Fibroblasts","Fibroblasts",FALSE
43710,"TF1→TF2","Astrocytes","Neurons",TRUE
43711,"TF1→TF2","Fibroblasts","Neutrophils",TRUE
43712,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
43713,"TF1→TF2","Fibroblasts","Fibroblasts",FALSE
43714,"TF1→TF2","Astrocytes","Neurons",TRUE
43715,"TF1→TF2","Fibroblasts","Endothelial cells",TRUE
43716,"TF1→TF2","Fibroblasts","Fibroblasts",FALSE
43717,"TF1→TF2","Neutrophils","Fibroblasts",TRUE
43718,"TF1→TF2","Fibroblasts","Fibroblasts",FALSE
